Box_xDev Box_yDev Box_zDev Box_RotxDev Box_RotyDev Box_RotzDev Pin_xDev Pin_yDev Pin_zDev Pin_RotxDev Pin_RotyDev Pin_RotzDev
4.78193 5.27177 0.254521 -0.00292223 -0.00883629 0.0099381 4.84337 6.71945 0.389021 0.000283455 -0.00366084 0.000323254
4.77896 5.27192 0.245239 -0.00262079 -0.010573 0.00986283 4.85202 6.71183 0.401368 0.000438817 -0.000786573 0.00150424
4.77607 5.27414 0.220463 -0.00382374 -0.0170597 0.00850964 4.85344 6.71745 0.386051 0.00231466 -0.00147585 0.00126213
4.79402 5.26207 0.189629 0.00297749 -0.0159719 0.01215 4.87149 6.70102 0.426974 -0.00215103 0.000798616 0.00365333
4.77189 5.28073 0.222968 -0.000666729 -0.0131525 0.00780575 4.86461 6.70887 0.397727 0.00113283 -0.000644807 0.00229001
4.77108 5.27711 0.225792 -0.00372506 -0.015959 0.0077334 4.86587 6.7079 0.425867 -0.00415472 -0.00227285 0.00190724
4.77439 5.27814 0.170639 0.00427821 -0.0186044 0.00790169 4.85533 6.71132 0.393952 0.00277035 0.000998832 0.000200315
4.74944 5.30374 0.142899 0.00817711 -0.0200742 0.0033985 4.85558 6.71245 0.415771 -0.000843443 0.000284772 -5.33699e-05
4.739 5.30915 0.189577 -0.00211517 -0.0218595 0.00112371 4.84694 6.7173 0.407297 0.000637774 0.000743102 -0.00157914
4.75734 5.2956 0.180536 -0.00475124 -0.0267123 0.00431573 4.85388 6.7111 0.396702 0.000430037 -0.0018929 -0.000570474
4.73574 5.31136 0.204004 -0.00798948 -0.0253895 0.000565077 4.84202 6.71881 0.394814 0.00244524 0.000589263 -0.00252644
4.74041 5.30887 0.202776 -0.00930813 -0.0271305 0.00125257 4.867 6.70209 0.395863 0.00558265 0.00539629 0.00139515
4.74179 5.30547 0.208025 -0.00887302 -0.0255081 0.00163366 4.8962 6.68171 0.443136 -0.00636335 -0.00192443 0.00476244
4.75425 5.29299 0.228628 -0.0110415 -0.0236539 0.00453223 4.87034 6.70467 0.416723 -0.00210878 -0.00130075 0.000294534
4.73844 5.30577 0.24284 -1.57218e-07 -0.00833792 0.00219798 4.86867 6.70451 0.401473 0.00192389 0.00126655 -0.000325539
4.74051 5.30825 0.221309 0.00135125 -0.0114339 0.00177312 4.87847 6.69575 0.393164 0.0027287 0.000699863 0.00119231
4.71179 5.33676 0.217058 -0.000794722 -0.0147772 -0.00367397 4.88053 6.69522 0.376815 0.000935531 -0.00532534 0.00133868
4.69311 5.34877 0.226474 -0.00485417 -0.0173963 -0.00721348 4.88115 6.69725 0.412493 0.00017155 0.0011073 0.000886355
4.70174 5.3427 0.232829 -0.00290894 -0.0137615 -0.00557803 4.87906 6.69569 0.387493 0.00351389 0.000629019 0.000660363
4.72012 5.32 0.264519 -0.00418646 -0.00842007 -0.00132827 4.91657 6.67107 0.411492 -0.00194278 -0.00215491 0.00561861
4.76902 5.27925 0.311302 -0.0203375 -0.0167432 0.00744185 4.88327 6.69099 0.429839 -0.00313093 6.71521e-05 0.000924452
4.81557 5.23765 0.290832 -0.0204001 -0.0211941 0.0155953 4.89012 6.68838 0.406661 0.00137686 0.00156589 0.00111012
4.80914 5.24282 0.275534 -0.0183745 -0.0221338 0.0146121 4.88897 6.68358 0.413751 0.00149328 0.00334261 0.00165153
4.78324 5.2717 0.207198 -0.00648269 -0.0233254 0.00928064 4.86289 6.70155 0.390785 0.00156159 -0.00152972 -0.00280558
4.76779 5.28127 0.216413 -0.00767604 -0.0225141 0.00643044 4.89367 6.68335 0.399056 0.00183211 0.000718906 0.00111226
4.76731 5.28642 0.182922 0.00459192 -0.0157079 0.00645955 4.88882 6.68273 0.415544 -0.00190245 -0.00131194 0.000524032
4.79883 5.26064 0.155239 0.0103893 -0.0149954 0.012864 4.89914 6.67891 0.391294 0.0020586 -0.000641178 0.00148847
4.80951 5.24848 0.16021 0.00576414 -0.0191519 0.0144056 4.87576 6.69062 0.426137 -0.00402651 -0.00201988 -0.00229323
4.79873 5.25933 0.149896 0.0103411 -0.0162511 0.0123808 4.89821 6.68007 0.392945 0.00114012 -0.00161139 0.000699039
4.77956 5.27512 0.181795 0.00201859 -0.0189423 0.00878316 4.91008 6.6692 0.415994 0.00181108 0.00422921 0.00291575
4.79174 5.26123 0.200806 0.000810351 -0.0162811 0.0116658 4.89204 6.68493 0.394175 0.00340731 0.00183685 -0.00061275
4.8065 5.24865 0.218244 0.00619848 -0.00642217 0.0148725 4.91344 6.66685 0.403465 0.000366401 -0.000577204 0.00256239
4.7911 5.26099 0.236454 -0.000568045 -0.0102359 0.011602 4.89672 6.6758 0.41599 -0.000895888 0.000336617 -2.02112e-05
4.78822 5.265 0.284556 -0.00476965 -0.00488831 0.0112526 4.89538 6.67428 0.448366 -0.00343556 0.00347097 -3.14721e-05
4.79939 5.25221 0.286915 -0.0122164 -0.0127786 0.0134063 4.9185 6.66382 0.436088 -0.00195898 0.00305368 0.00268543
4.79135 5.25756 0.296473 -0.0107807 -0.00912036 0.0118054 4.9153 6.66651 0.416213 -0.00137361 -0.000236306 0.00154228
4.79111 5.25433 0.301084 -0.0148538 -0.012791 0.0120525 4.91508 6.66944 0.349431 0.00562799 -0.00425129 0.00173502
4.76191 5.28476 0.268509 -0.00321411 -0.00664664 0.00649266 4.92113 6.66136 0.405798 -0.000355743 -0.00106787 0.00220466
