Box_xDev Box_yDev Box_zDev Box_RotxDev Box_RotyDev Box_RotzDev Pin_xDev Pin_yDev Pin_zDev Pin_RotxDev Pin_RotyDev Pin_RotzDev
4.70543 5.31102 0.332708 -0.317475 0.404278 -0.365099 4.6079 6.90772 0.373592 -0.104317 0.0141384 0.183669
4.70598 5.31103 0.335757 -0.349174 0.406113 -0.367822 4.60672 6.9086 0.373979 -0.0986517 0.012793 0.170337
4.70736 5.30948 0.331228 -0.347396 0.404866 -0.390705 4.6085 6.90717 0.37457 -0.110497 0.00749929 0.184691
4.707 5.31237 0.332627 -0.331046 0.392545 -0.385184 4.60489 6.90528 0.375256 -0.106412 0.0191829 0.183071
4.70588 5.31102 0.331791 -0.362038 0.382897 -0.401212 4.60331 6.9053 0.372758 -0.113904 0.0325313 0.187538
4.70615 5.31213 0.332701 -0.36497 0.389779 -0.408002 4.60299 6.90586 0.372679 -0.106108 0.0365734 0.184418
4.70479 5.31184 0.328937 -0.342516 0.369589 -0.413284 4.60403 6.90748 0.376272 -0.104327 0.0255579 0.1784
4.70337 5.31063 0.331783 -0.375298 0.396967 -0.414543 4.60695 6.90299 0.37732 -0.118513 0.0114703 0.189154
4.70281 5.31055 0.331709 -0.35884 0.385411 -0.397293 4.60497 6.90175 0.376659 -0.118225 0.0193112 0.186592
4.70415 5.31058 0.332041 -0.342667 0.400924 -0.390881 4.60584 6.90528 0.37617 -0.108841 0.0206755 0.168907
4.70497 5.3125 0.332687 -0.340584 0.374718 -0.409801 4.60599 6.90106 0.376093 -0.11999 0.0154698 0.140265
4.70499 5.30941 0.332553 -0.332643 0.398317 -0.394439 4.61206 6.90834 0.373943 -0.104163 -0.0116967 0.163211
4.70524 5.30918 0.334097 -0.331751 0.386984 -0.382391 4.61422 6.90597 0.374125 -0.111339 0.000325808 0.162248
4.70567 5.30995 0.333376 -0.308554 0.385582 -0.352993 4.60912 6.90514 0.375425 -0.105506 0.00330962 0.162053
4.7042 5.31198 0.331683 -0.32997 0.396701 -0.376455 4.60924 6.90378 0.373649 -0.113741 0.00316847 0.173531
4.70537 5.31123 0.331714 -0.29844 0.397601 -0.350015 4.60219 6.90879 0.373269 -0.0917075 0.0301144 0.159726
4.7075 5.31325 0.332755 -0.300051 0.407975 -0.358749 4.60494 6.90733 0.374195 -0.0980204 0.0102229 0.161617
4.70749 5.31341 0.331917 -0.305014 0.403213 -0.36159 4.60637 6.90582 0.375832 -0.103965 0.00512943 0.155511
4.70737 5.31112 0.334175 -0.323721 0.398235 -0.368152 4.61432 6.90834 0.377608 -0.101375 -0.0128843 0.165403
4.7073 5.31019 0.334533 -0.314352 0.393484 -0.362331 4.61467 6.91213 0.377326 -0.0933049 -0.0160306 0.150848
4.70484 5.31234 0.333968 -0.321729 0.378616 -0.404464 4.61335 6.9125 0.378903 -0.0958512 -0.012379 0.158606
